item_no,product_name,brand_name,prod_category,prod_sub_category,flavor,vintage,varietal,product_size,bottles_per_case,unit_price,corp_item_suppl_name,warehouse_no,average_rating,review_count,stock_status,last_restock_date,warranty_period
10101,Golden Cascade,Crafty Brews,Beer,Ale,Citrus,,,750ML,6,26,Local Beer Distributors,W010101,4.5,120,In Stock,2024-01-15,24
10102,Golden Cascade,Crafty Brews,Beer,Ale,Citrus,,,1.0 L,6,34,Local Beer Distributors,W010101,4.2,98,Low Stock,2024-02-01,12
10103,Golden Cascade,Crafty Brews,Beer,Ale,Citrus,,,12 Z,6,25,Local Beer Distributors,W010101,4.8,210,In Stock,2024-01-20,6
10201,Midnight Stout,Brewmaster's Delight,Beer,Stout,Vanilla,,,2.0L,6,46,Global Beverages Inc.,W010102,4.6,300,In Stock,2024-02-03,0
10202,Midnight Stout,Brewmaster's Delight,Beer,Stout,Vanilla,,,500ML,6,25,Global Beverages Inc.,W010102,4.9,530,Out of Stock,2024-01-10,36
10203,Midnight Stout,Brewmaster's Delight,Beer,Stout,Vanilla,,,250ML,6,40,Global Beverages Inc.,W010102,4.3,87,In Stock,2024-01-28,12
10301,Hazy Horizon,Sunshine Brewery,Beer,IPA,Hoppy,,,750ML,6,34,Tropical Spirits Co.,W010103,4.7,180,Low Stock,2024-01-25,24
10302,Hazy Horizon,Sunshine Brewery,Beer,IPA,Hoppy,,,1.0 L,12,43,Tropical Spirits Co.,W010103,4.1,75,In Stock,2024-02-05,0
10303,Hazy Horizon,Sunshine Brewery,Beer,IPA,Hoppy,,,12 Z,12,31,Tropical Spirits Co.,W010103,4.3,140,In Stock,2024-01-18,24
10401,Bavarian Breeze,Mystic Ales,Beer,Lager,Malt,,,2.0L,12,41,Regional Drinks Ltd.,W010104,4.6,230,In Stock,2024-01-22,6
10402,Bavarian Breeze,Mystic Ales,Beer,Lager,Malt,,,500ML,12,33,Regional Drinks Ltd.,W010104,4.4,95,Low Stock,2024-01-30,24
10403,Bavarian Breeze,Mystic Ales,Beer,Lager,Malt,,,250ML,12,22,Regional Drinks Ltd.,W010104,4.5,112,In Stock,2024-02-02,18
